Nome: Neymar, Nacionalidade: Brasil, Clube: Santos, Posicao: ATACANTE, Ritmo: 91, Chute: 85, Passe: 87, Drible: 95, Defesa: 32, Fisico: 58, Historia: Cria da Vila  
Nome: Bernardo Silva, Nacionalidade: Portugal,Clube: Manchester City, Posicao: MEIA, Ritmo: 75, Chute: 78, Passe: 86, Drible: 92, Defesa: 71 , Fisico: 69, Historia:
Nome: Toni Kroos, Nacionalidade: Alemanha,Clube: Real Madrid, Posicao: MEIA, Ritmo: 51, Chute: 80, Passe: 90, Drible: 81, Defesa: 70, Fisico: 71, Historia:
Nome: Sergio Ramos, Nacionalidade: Espanha,Clube: Real Madrid, Posicao: ZAGUEIRO, Ritmo: 75, Chute: 63  , Passe: 70 , Drible: 70, Defesa: 87, Fisico: 84, Historia: Brigao 
Nome: Ruben Dias, Nacionalidade: Portugal,Clube: Manchester City, Posicao: ZAGUEIRO, Ritmo: 67 , Chute: 39 , Passe: 70, Drible: 69 , Defesa: 89, Fisico: 87, Historia:
Nome: Karim Adeyemi, Nacionalidade: Alemanha,Clube: Borussia Dortmund, Posicao: ATACANTE, Ritmo: 96, Chute: 73 , Passe: 71 , Drible: 81, Defesa: 34, Fisico: 70, Historia:
Nome: Erling Haaland, Nacionalidade: Noruega,Clube: Manchester City, Posicao: ATACANTE, Ritmo: 88, Chute: 92, Passe: 70 , Drible: 81, Defesa: 45, Fisico: 88, Historia: Cometa
Nome: Kylian Mbappe, Nacionalidade: Franca,Clube: Real Madrid, Posicao: ATACANTE, Ritmo: 97, Chute: 90 , Passe: 80 , Drible: 92, Defesa: 36, Fisico: 78, Historia:
Nome: Virgil van Dijk, Nacionalidade: Paises Baixos,Clube: Liverpool, Posicao: ZAGUEIRO, Ritmo: 78, Chute: 60 , Passe: 71 , Drible: 71, Defesa: 89, Fisico: 86, Historia:
Nome: Phil Foden, Nacionalidade: Inglaterra,Clube: Manchester City, Posicao: MEIA, Ritmo: 86 , Chute: 86 , Passe: 85 , Drible: 90, Defesa: 57, Fisico: 63, Historia:
Nome: Jadon Sancho, Nacionalidade: Inglaterra,Clube: Chelsea, Posicao: ATACANTE, Ritmo: 79, Chute: 69 , Passe: 78, Drible: 89, Defesa: 32, Fisico: 50, Historia:
Nome: Romelu Lukaku, Nacionalidade: Belgica,Clube: Napoli, Posicao: ATACANTE, Ritmo: 79, Chute: 82 , Passe: 73 , Drible: 74, Defesa: 38, Fisico: 82, Historia:
Nome: Paolo Maldini, Nacionalidade: Italia,Clube: Milan, Posicao: ZAGUEIRO, Ritmo: 86 , Chute: 56 , Passe: 75  , Drible: 69 , Defesa: 96, Fisico: 83, Historia: Lenda do Milan
Nome: Gennaro Gattuso, Nacionalidade: Italia,Clube: Milan, Posicao: MEIA, Ritmo: 73, Chute: 62 , Passe: 69 , Drible: 70, Defesa: 88, Fisico: 87, Historia: Casca grossa
Nome: Marcelo, Nacionalidade: Brasil,Clube: Real Madrid, Posicao: LATERAL, Ritmo: 79, Chute: 69 , Passe: 80 , Drible: 84, Defesa: 82, Fisico: 80, Historia: Parca do CR7
Nome: Roberto Carlos, Nacionalidade: Brasil,Clube: Real Madrid, Posicao: LATERAL, Ritmo: 91, Chute: 83 , Passe: 83 , Drible: 80, Defesa: 85, Fisico: 86, Historia: Tinha um canhao no lugar da perna
Nome: Philipp Lahm, Nacionalidade: Alemanha,Clube: Bayern De Munique, Posicao: LATERAL, Ritmo: 84, Chute: 68  , Passe: 83  , Drible: 83, Defesa: 86, Fisico: 70, Historia:
Nome: Theo Hernández, Nacionalidade: Franca,Clube: Milan, Posicao: LATERAL, Ritmo: 95, Chute: 76  , Passe: 78 , Drible: 84, Defesa: 81, Fisico: 89, Historia:
Nome: Joao Cancelo, Nacionalidade: Portugal,Clube: Manchester City, Posicao: LATERAL, Ritmo: 81, Chute: 73 , Passe: 85 , Drible: 85, Defesa: 80 , Fisico: 72, Historia:
Nome: Daniel Carvajal, Nacionalidade: Espanha,Clube: Real Madrid, Posicao: LATERAL, Ritmo: 81 , Chute: 58 , Passe: 79, Drible: 81 , Defesa: 81, Fisico: 79, Historia:
Nome: Joshua Kimmich, Nacionalidade: Alemanha,Clube: Bayern De Munique, Posicao: LATERAL, Ritmo: 69 , Chute: 74 , Passe: 88 , Drible: 84, Defesa: 81, Fisico: 77, Historia:
Nome: Edson Arantes Nascimento, Nacionalidade: Brasil,Clube: Santos, Posicao: ATACANTE, Ritmo: 99, Chute: 99 , Passe: 99, Drible: 99, Defesa: 99, Fisico: 99, Historia: Eterno Rei 
Nome: , Nacionalidade: ,Clube: , Posicao: , Ritmo: , Chute:  , Passe:  , Drible: , Defesa: , Fisico: , Historia:
Nome: , Nacionalidade: ,Clube: , Posicao: , Ritmo: , Chute:  , Passe:  , Drible: , Defesa: , Fisico: , Historia:
